"Year","GDP","Imports","Exports","Population"
1960,2723648551.75208,67.1436317062962,39.043172595018,11124888
1961,2434776645.73628,67.5037710393941,46.2445568889055,11404859
1962,2001468867.73344,20.8186466819923,19.79387267512,11690153
1963,2703014867.32834,36.8255151428299,24.6846820545111,11985136
1964,2909351792.58659,29.4397625286893,25.0840587279266,12295970
1965,3136258896.9233,25.8330783500862,22.6039435563255,12626952
1966,3039834558.74906,24.6535720040753,25.9861975178091,12980267
1967,3370843065.76735,21.631769324965,23.434416768712,13354197
1968,3852115816.97758,24.1872543580569,23.1356346033587,13744387
1969,4257218772.15369,28.070758079996,23.7887768242961,14144438
1970,4863487492.65763,29.1526684055845,22.0727334005425,14550034
1971,5077222366.97472,27.6637775284367,18.4425191541398,14960109
1972,6761786386.54713,25.7268683015027,20.4495619832458,15377093
1973,8715105930.49101,31.5897635298628,25.5036630012744,15804428
1974,13209713643.3219,35.4897756232698,38.7490436138728,16247113
1975,15557934268.4965,42.9655991893928,33.6889362162921,16709099
1976,17728347374.994,37.1186729568061,33.0545839253536,17190239
1977,20971901273.271,41.7403173005898,30.58656693011,17690184
1978,26364491313.4471,40.1687321682685,25.5358367212767,18212326
1979,33243422157.6311,32.8657490800092,31.1483002053416,18760761
1980,42345277342.0195,30.3384616947124,34.3384614657894,19337715
1981,44348672667.8715,30.8777428614597,34.5872507738721,19943664
1982,45207088715.6483,28.9980749459833,30.9248563230201,20575701
1983,48801369800.3675,25.8023112440766,27.9418061120348,21228289
1984,53698278905.9678,27.4663675069292,25.7100161819841,21893853
1985,57937868670.1937,26.7421877427078,23.5839328880834,22565905
1986,63696301892.8116,23.1719532337981,12.8547573361278,23241272
1987,66742267773.1959,18.4121097433912,14.2724747252216,23917897
1988,59089067187.3943,22.6037193991007,15.5078678786413,24591492
1989,55631489801.5508,28.5140563708175,18.6392633357627,25257672
1990,62045099642.7774,24.9370285987113,23.4436850828471,25912367
1991,45715367087.1001,23.5997645372107,29.11782217052,26554329
1992,48003298223.1178,23.8694899566974,25.3195942793437,27181094
1993,49946455210.966,23.138936373697,21.7838769961664,27786259
1994,42542571305.5136,26.0537125425428,22.5307252452381,28362253
1995,41764052457.8814,28.9962292290876,26.1947759790559,28904298
1996,46941496779.8499,23.9446995515946,29.7604483251847,29411415
1997,48177862501.9495,21.3376001260742,30.9063113798645,29886839
1998,48187747528.899,22.516096548704,22.5783540098039,30335732
1999,48640574566.6476,22.7789989545033,28.1501164983628,30765613
2000,54790245600.5846,20.7886257603489,42.0697183238118,31183660
2001,54744714396.1666,22.0168577328644,36.6893047524956,31592153
2002,56760288973.6703,25.6296317330424,35.5045331051175,31995046
2003,67863829880.4832,23.8759429702969,38.2488291071572,32403514
2004,85324998813.604,25.6481996722076,40.0532264952068,32831096
2005,103198228458.588,24.0734043582286,47.205193239313,33288437
2006,117027304746.54,21.919325860296,48.810688221487,33777915
2007,134977087734.008,24.8699633870814,47.0681635490012,34300076
2008,171000691877.714,28.7111769178343,47.9733451352038,34860715
2009,137211039898.193,35.9526777107593,35.3716506431356,35465760
2010,161207268655.392,31.4221139098984,38.4445478458848,36117637
2011,200019057307.655,28.6853215696516,38.7869538761133,36819558
2012,209058991952.125,28.5144313585075,36.8905475681754,37565847
2013,209755003250.664,30.4009257967918,33.2098977866243,38338562
2014,213810022462.428,31.926659337883,30.2191174257954,39113313
2015,165979277276.907,36.5233508297033,23.1717782907161,39871528
2016,160129866569.935,35.0322328950993,20.8600106281793,40606052
2017,167555280113.181,33.5014652299531,22.6388868549416,41318142
